Position,Games,FantasyPoints,PlayerID,AvgFPPG
QB,17,393.0,josh allen0,23.11764705882353
QB,17,357.0,jalen hurts0,21.0
QB,16,331.0,lamar jackson0,20.6875
RB,16,324.0,christian mccaffrey0,20.25
QB,5,101.0,joe flacco0,20.2
QB,17,343.0,dak prescott0,20.176470588235293
QB,17,319.0,jordan love0,18.764705882352942
QB,8,150.0,kirk cousins0,18.75
RB,12,223.0,kyren williams0,18.583333333333332
QB,16,296.0,brock purdy0,18.5
QB,15,275.0,c.j. stroud0,18.333333333333332
QB,8,146.0,kyler murray0,18.25
QB,4,73.0,anthony richardson0,18.25
QB,13,233.0,justin herbert0,17.923076923076923
QB,13,230.0,justin fields0,17.692307692307693
QB,16,280.0,patrick mahomes0,17.5
QB,15,257.0,russell wilson0,17.133333333333333
QB,17,289.0,jared goff0,17.0
QB,16,263.0,trevor lawrence0,16.4375
QB,15,243.0,matthew stafford0,16.2
RB,15,243.0,raheem mostert0,16.2
QB,17,274.0,baker mayfield0,16.11764705882353
WR,16,257.0,tyreek hill0,16.0625
QB,9,143.0,jake browning0,15.88888888888889
QB,17,270.0,tua tagovailoa0,15.882352941176471
WR,17,268.0,ceedee lamb0,15.764705882352942
QB,13,201.0,joshua dobbs0,15.461538461538462
QB,17,257.0,sam howell0,15.117647058823529
QB,15,226.0,geno smith0,15.066666666666666
RB,11,164.0,de'von achane0,14.909090909090908
QB,10,147.0,joe burrow0,14.7
QB,6,87.0,deshaun watson0,14.5
QB,17,241.0,derek carr0,14.176470588235293
QB,1,14.0,jeff driskel0,14.0
RB,10,137.0,jonathan taylor0,13.7
RB,14,191.0,david montgomery0,13.642857142857142
QB,5,68.0,easton stick0,13.6
RB,13,175.0,james conner0,13.461538461538462
QB,5,67.0,nick mullens0,13.4
WR,10,134.0,justin jefferson0,13.4
WR,16,212.0,amon-ra st. brown0,13.25
QB,5,66.0,taylor heinicke0,13.2
RB,17,224.0,travis etienne0,13.176470588235293
WR,13,171.0,keenan allen0,13.153846153846153
RB,14,182.0,saquon barkley0,13.0
QB,2,26.0,carson wentz0,13.0
RB,17,219.0,derrick henry0,12.882352941176471
RB,15,190.0,jahmyr gibbs0,12.666666666666666
RB,17,215.0,joe mixon0,12.647058823529411
RB,17,215.0,breece hall0,12.647058823529411
WR,15,184.0,deebo samuel0,12.266666666666667
RB,13,158.0,alvin kamara0,12.153846153846153
RB,14,170.0,isiah pacheco0,12.142857142857142
RB,17,204.0,rachaad white0,12.0
WR,17,204.0,mike evans0,12.0
WR,15,180.0,nico collins0,12.0
QB,15,176.0,desmond ridder0,11.733333333333333
QB,17,196.0,gardner minshew ii0,11.529411764705882
QB,11,126.0,aidan o'connell0,11.454545454545455
WR,17,194.0,puka nacua0,11.411764705882353
RB,15,170.0,kenneth walker iii0,11.333333333333334
QB,9,102.0,will levis0,11.333333333333334
WR,17,191.0,d.j. moore0,11.235294117647058
RB,17,189.0,james cook0,11.117647058823529
RB,13,144.0,josh jacobs0,11.076923076923077
RB,17,188.0,bijan robinson0,11.058823529411764
WR,16,174.0,brandon aiyuk0,10.875
WR,17,184.0,a.j. brown0,10.823529411764707
RB,15,162.0,brian robinson jr.0,10.8
WR,11,118.0,tank dell0,10.727272727272727
QB,5,53.0,tyson bagent0,10.6
QB,9,94.0,tommy devito0,10.444444444444445
WR,15,155.0,amari cooper0,10.333333333333334
WR,3,31.0,mike williams0,10.333333333333334
RB,17,175.0,gus edwards0,10.294117647058824
RB,14,143.0,zack moss0,10.214285714285714
WR,16,163.0,ja'marr chase0,10.1875
QB,4,40.0,mason rudolph0,10.0
QB,12,120.0,zach wilson0,10.0
RB,16,160.0,d'andre swift0,10.0
RB,1,10.0,j.k. dobbins0,10.0
WR,16,159.0,d.k. metcalf0,9.9375
RB,17,168.0,tony pollard0,9.882352941176471
WR,17,167.0,stefon diggs0,9.823529411764707
RB,17,167.0,najee harris0,9.823529411764707
RB,17,167.0,jerome ford0,9.823529411764707
QB,5,49.0,mitchell trubisky0,9.8
QB,16,156.0,bryce young0,9.75
QB,11,106.0,mac jones0,9.636363636363637
RB,14,134.0,austin ekeler0,9.571428571428571
WR,16,153.0,jayden reed0,9.5625
RB,11,105.0,aaron jones0,9.545454545454545
WR,17,162.0,davante adams0,9.529411764705882
QB,6,57.0,daniel jones0,9.5
RB,2,19.0,nick chubb0,9.5
WR,16,148.0,jakobi meyers0,9.25
WR,16,147.0,devonta smith0,9.1875
QB,12,110.0,kenny pickett0,9.166666666666666
QB,7,64.0,jimmy garoppolo0,9.142857142857142
WR,14,127.0,jaylen waddle0,9.071428571428571
WR,17,154.0,calvin ridley0,9.058823529411764
WR,16,144.0,chris olave0,9.0
QB,3,27.0,jarrett stidham0,9.0
RB,12,108.0,rhamondre stevenson0,9.0
TE,17,153.0,sam laporta0,9.0
TE,10,90.0,mark andrews0,9.0
RB,9,80.0,d'onta foreman0,8.88888888888889
WR,17,151.0,jordan addison0,8.882352941176471
WR,16,141.0,michael pittman jr.0,8.8125
WR,17,149.0,deandre hopkins0,8.764705882352942
WR,12,105.0,cooper kupp0,8.75
TE,16,138.0,george kittle0,8.625
WR,17,146.0,george pickens0,8.588235294117647
RB,4,34.0,darrell henderson0,8.5
RB,17,144.0,chuba hubbard0,8.470588235294118
TE,15,126.0,travis kelce0,8.4
WR,16,134.0,rashee rice0,8.375
TE,15,124.0,t.j. hockenson0,8.266666666666667
