Player,Team,Position,Games,PassingCompletions,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,PassingInt,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTargets,Receptions,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,FantasyPoints,PlayerID
Christian McCaffrey*+,SFO,RB,16,0,0,272,0,1459,564,0,14,7,21,0,0,272,0,1459,564,0,14,7,21,83,67,0,1459,564,0,14,7,21,324.0,christian mccaffrey0
CeeDee Lamb*+,DAL,WR,17,0,0,14,0,113,1749,0,2,12,14,0,0,14,0,113,1749,0,2,12,14,181,135,0,113,1749,0,2,12,14,268.0,ceedee lamb0
Josh Allen,BUF,QB,17,385,579,111,4306,524,0,29,15,0,15,18,579,111,4306,524,0,29,15,0,15,0,0,4306,524,0,29,15,0,15,393.0,josh allen0
Tyreek Hill*+,MIA,WR,16,0,0,6,0,15,1799,0,0,13,13,0,0,6,0,15,1799,0,0,13,13,171,119,0,15,1799,0,0,13,13,257.0,tyreek hill0
Jalen Hurts*,PHI,QB,17,352,538,157,3858,605,0,23,15,0,15,15,538,157,3858,605,0,23,15,0,15,0,0,3858,605,0,23,15,0,15,357.0,jalen hurts0
Raheem Mostert*,MIA,RB,15,0,0,209,0,1012,175,0,18,3,21,0,0,209,0,1012,175,0,18,3,21,32,25,0,1012,175,0,18,3,21,243.0,raheem mostert0
Amon-Ra St. Brown*+,DET,WR,16,0,0,4,0,24,1515,0,0,10,10,0,0,4,0,24,1515,0,0,10,10,164,119,0,24,1515,0,0,10,10,212.0,amon-ra st. brown0
Dak Prescott*,DAL,QB,17,410,590,55,4516,242,0,36,2,0,2,9,590,55,4516,242,0,36,2,0,2,0,0,4516,242,0,36,2,0,2,343.0,dak prescott0
Mike Evans*,TAM,WR,17,0,0,0,0,0,1255,0,0,13,13,0,0,0,0,0,1255,0,0,13,13,136,79,0,0,1255,0,0,13,13,204.0,mike evans0
Lamar Jackson*+,BAL,QB,16,307,457,148,3678,821,0,24,5,0,5,7,457,148,3678,821,0,24,5,0,5,0,0,3678,821,0,24,5,0,5,331.0,lamar jackson0
Sam LaPorta*,DET,TE,17,0,0,1,0,4,889,0,0,10,10,0,0,1,0,4,889,0,0,10,10,120,86,0,4,889,0,0,10,10,153.0,sam laporta0
Travis Etienne,JAX,RB,17,0,0,267,0,1008,476,0,11,1,12,0,0,267,0,1008,476,0,11,1,12,73,58,0,1008,476,0,11,1,12,224.0,travis etienne0
Kyren Williams*,LAR,RB,12,0,0,228,0,1144,206,0,12,3,15,0,0,228,0,1144,206,0,12,3,15,48,32,0,1144,206,0,12,3,15,223.0,kyren williams0
Puka Nacua*,LAR,WR,17,0,0,12,0,89,1486,0,0,6,6,0,0,12,0,89,1486,0,0,6,6,160,105,0,89,1486,0,0,6,6,194.0,puka nacua0
D.J. Moore,CHI,WR,17,0,0,4,0,21,1364,0,1,8,9,0,0,4,0,21,1364,0,1,8,9,136,96,0,21,1364,0,1,8,9,191.0,d.j. moore0
Derrick Henry*,TEN,RB,17,2,3,280,14,1167,214,2,12,0,12,0,3,280,14,1167,214,2,12,0,12,36,28,14,1167,214,2,12,0,12,219.0,derrick henry0
Joe Mixon,CIN,RB,17,0,0,257,0,1034,376,0,9,3,12,0,0,257,0,1034,376,0,9,3,12,64,52,0,1034,376,0,9,3,12,215.0,joe mixon0
Jordan Love,GNB,QB,17,372,579,50,4159,247,0,32,4,0,4,11,579,50,4159,247,0,32,4,0,4,0,0,4159,247,0,32,4,0,4,319.0,jordan love0
Breece Hall,NYJ,RB,17,0,0,223,0,994,591,0,5,4,9,0,0,223,0,994,591,0,5,4,9,95,76,0,994,591,0,5,4,9,215.0,breece hall0
A.J. Brown*,PHI,WR,17,0,0,0,0,0,1456,0,0,7,7,0,0,0,0,0,1456,0,0,7,7,158,106,0,0,1456,0,0,7,7,184.0,a.j. brown0
Deebo Samuel,SFO,WR,15,0,1,37,0,225,892,0,5,7,12,0,1,37,0,225,892,0,5,7,12,89,60,0,225,892,0,5,7,12,184.0,deebo samuel0
George Kittle*+,SFO,TE,16,0,0,1,0,2,1020,0,0,6,6,0,0,1,0,2,1020,0,0,6,6,90,65,0,2,1020,0,0,6,6,138.0,george kittle0
Nico Collins,HOU,WR,15,0,0,1,0,7,1297,0,0,8,8,0,0,1,0,7,1297,0,0,8,8,109,80,0,7,1297,0,0,8,8,180.0,nico collins0
Rachaad White,TAM,RB,17,0,0,272,0,990,549,0,6,3,9,0,0,272,0,990,549,0,6,3,9,70,64,0,990,549,0,6,3,9,204.0,rachaad white0
Brandon Aiyuk,SFO,WR,16,0,0,0,0,0,1342,0,0,7,7,0,0,0,0,0,1342,0,0,7,7,105,75,0,0,1342,0,0,7,7,174.0,brandon aiyuk0
Travis Kelce*,KAN,TE,15,0,0,0,0,0,984,0,0,5,5,0,0,0,0,0,984,0,0,5,5,121,93,0,0,984,0,0,5,5,126.0,travis kelce0
Keenan Allen*,LAC,WR,13,1,2,2,49,6,1243,1,0,7,7,0,2,2,49,6,1243,1,0,7,7,150,108,49,6,1243,1,0,7,7,171.0,keenan allen0
T.J. Hockenson,MIN,TE,15,0,0,0,0,0,960,0,0,5,5,0,0,0,0,0,960,0,0,5,5,127,95,0,0,960,0,0,5,5,124.0,t.j. hockenson0
Stefon Diggs*,BUF,WR,17,0,0,1,0,5,1183,0,0,8,8,0,0,1,0,5,1183,0,0,8,8,160,107,0,5,1183,0,0,8,8,167.0,stefon diggs0
David Njoku*,CLE,TE,16,0,0,0,0,0,882,0,0,6,6,0,0,0,0,0,882,0,0,6,6,123,81,0,0,882,0,0,6,6,120.0,david njoku0
Brock Purdy*,SFO,QB,16,308,444,39,4280,144,0,31,2,0,2,11,444,39,4280,144,0,31,2,0,2,0,0,4280,144,0,31,2,0,2,296.0,brock purdy0
David Montgomery,DET,RB,14,0,0,219,0,1015,117,0,13,0,13,0,0,219,0,1015,117,0,13,0,13,24,16,0,1015,117,0,13,0,13,191.0,david montgomery0
Ja'Marr Chase*,CIN,WR,16,1,1,3,-7,-6,1216,0,0,7,7,0,1,3,-7,-6,1216,0,0,7,7,145,100,-7,-6,1216,0,0,7,7,163.0,ja'marr chase0
Davante Adams,LVR,WR,17,0,0,0,0,0,1144,0,0,8,8,0,0,0,0,0,1144,0,0,8,8,175,103,0,0,1144,0,0,8,8,162.0,davante adams0
Jahmyr Gibbs*,DET,RB,15,0,0,182,0,945,316,0,10,1,11,0,0,182,0,945,316,0,10,1,11,71,52,0,945,316,0,10,1,11,190.0,jahmyr gibbs0
Evan Engram*,JAX,TE,17,0,0,0,0,0,963,0,0,4,4,0,0,0,0,0,963,0,0,4,4,143,114,0,0,963,0,0,4,4,116.0,evan engram0
James Cook*,BUF,RB,17,0,0,237,0,1122,445,0,2,4,6,0,0,237,0,1122,445,0,2,4,6,54,44,0,1122,445,0,2,4,6,189.0,james cook0
Bijan Robinson,ATL,RB,17,0,0,214,0,976,487,0,4,4,8,0,0,214,0,976,487,0,4,4,8,86,58,0,976,487,0,4,4,8,188.0,bijan robinson0
D.K. Metcalf*,SEA,WR,16,0,0,0,0,0,1114,0,0,8,8,0,0,0,0,0,1114,0,0,8,8,119,66,0,0,1114,0,0,8,8,159.0,d.k. metcalf0
Jared Goff,DET,QB,17,407,605,32,4575,21,0,30,2,0,2,12,605,32,4575,21,0,30,2,0,2,0,0,4575,21,0,30,2,0,2,289.0,jared goff0
Taysom Hill,NOR,TE,16,6,11,81,83,401,291,1,4,2,6,0,11,81,83,401,291,1,4,2,6,40,33,83,401,291,1,4,2,6,111.0,taysom hill0
Amari Cooper*,CLE,WR,15,0,0,0,0,0,1250,0,0,5,5,0,0,0,0,0,1250,0,0,5,5,128,72,0,0,1250,0,0,5,5,155.0,amari cooper0
